Tournament,Date,Series,Court,Surface,Round,Best of,Outcome,Player_1_Set_1,Player_1_Set_2,Player_1_Set_3,Player_1_Set_4,Player_1_Set_5
Wimbledon,2021-06-30,Grand Slam,Outdoor,Grass,1st Round,5,Loss,6,6,6,3.0,6.0
US Open,2021-09-03,Grand Slam,Outdoor,Hard,3rd Round,5,Loss,3,6,6,6.0,6.0
US Open,2021-09-05,Grand Slam,Outdoor,Hard,4th Round,5,Loss,7,1,7,2.0,0.0
Australian Open,2022-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Loss,2,6,6,6.0,6.0
French Open,2022-05-25,Grand Slam,Outdoor,Clay,2nd Round,5,Loss,6,6,5,7.0,6.0
Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Loss,6,5,6,6.0,4.0
US Open,2022-09-06,Grand Slam,Outdoor,Hard,4th Round,5,Loss,6,3,6,4.0,6.0
US Open,2022-09-08,Grand Slam,Outdoor,Hard,Quarterfinals,5,Loss,6,6,6,7.0,6.0
US Open,2022-09-10,Grand Slam,Outdoor,Hard,Semifinals,5,Loss,6,6,6,6.0,6.0
Wimbledon,2023-07-16,Grand Slam,Outdoor,Grass,The Final,5,Loss,6,6,1,6.0,4.0
