Tournament,Date,Series,Court,Surface,Round,Best of,Outcome,Player_1_Set_1,Player_1_Set_2,Player_1_Set_3
Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Win,7,4,7.0
Rio Open,2020-02-20,ATP500,Outdoor,Clay,2nd Round,3,Loss,4,6,4.0
Miami Open,2021-03-25,Masters 1000,Outdoor,Hard,1st Round,3,Loss,6,2,7.0
AnyTech365 Andalucia Open,2021-04-08,ATP250,Outdoor,Hard,2nd Round,3,Win,4,6,6.0
Millennium Estoril Open,2021-04-27,ATP250,Outdoor,Clay,1st Round,3,Loss,3,6,4.0
Croatia Open,2021-07-20,ATP250,Outdoor,Clay,1st Round,3,Win,3,6,6.0
Croatia Open,2021-07-23,ATP250,Outdoor,Clay,Quarterfinals,3,Win,6,6,1.0
Generali Open,2021-07-27,ATP250,Outdoor,Clay,1st Round,3,Loss,7,1,6.0
Winston-Salem Open at Wake Forest University,2021-08-25,ATP250,Outdoor,Hard,2nd Round,3,Win,6,6,7.0
Winston-Salem Open at Wake Forest University,2021-08-26,ATP250,Outdoor,Hard,3rd Round,3,Win,3,6,2.0
BNP Paribas Open,2021-10-10,Masters 1000,Outdoor,Hard,2nd Round,3,Loss,5,6,6.0
Vienna Open,2021-10-29,ATP500,Indoor,Hard,Quarterfinals,3,Win,6,6,7.0
BNP Paribas Masters,2021-11-02,Masters 1000,Indoor,Hard,1st Round,3,Win,6,7,7.0
Rio Open,2022-02-14,ATP500,Outdoor,Clay,1st Round,3,Win,2,6,6.0
Rio Open,2022-02-19,ATP500,Outdoor,Clay,Quarterfinals,3,Win,2,6,2.0
BNP Paribas Open,2022-03-19,Masters 1000,Outdoor,Hard,Semifinals,3,Loss,6,4,6.0
Miami Open,2022-04-01,Masters 1000,Outdoor,Hard,Quarterfinals,3,Win,6,6,7.0
Monte Carlo Masters,2022-04-13,Masters 1000,Outdoor,Clay,2nd Round,3,Loss,7,6,6.0
Barcelona Open,2022-04-20,ATP500,Outdoor,Clay,2nd Round,3,Win,1,6,2.0
Barcelona Open,2022-04-22,ATP500,Outdoor,Clay,Quarterfinals,3,Win,6,5,6.0
Barcelona Open,2022-04-24,ATP500,Outdoor,Clay,Semifinals,3,Win,6,7,6.0
Mutua Madrid Open,2022-05-05,Masters 1000,Outdoor,Clay,3rd Round,3,Win,6,6,6.0
Mutua Madrid Open,2022-05-06,Masters 1000,Outdoor,Clay,Quarterfinals,3,Win,6,1,6.0
Mutua Madrid Open,2022-05-07,Masters 1000,Outdoor,Clay,Semifinals,3,Win,7,5,6.0
European Open,2022-07-19,ATP250,Outdoor,Clay,1st Round,3,Win,6,1,6.0
European Open,2022-07-24,ATP250,Outdoor,Clay,The Final,3,Loss,6,6,6.0
Croatia Open,2022-07-30,ATP250,Outdoor,Clay,Semifinals,3,Win,5,6,3.0
Croatia Open,2022-07-31,ATP250,Outdoor,Clay,The Final,3,Loss,7,1,1.0
Canadian Open,2022-08-10,Masters 1000,Outdoor,Hard,2nd Round,3,Loss,6,7,6.0
Western & Southern Financial Group Masters,2022-08-20,Masters 1000,Outdoor,Hard,Quarterfinals,3,Loss,6,7,4.0
Swiss Indoors,2022-10-24,ATP500,Indoor,Hard,1st Round,3,Win,3,6,7.0
Argentina Open,2023-02-16,ATP250,Outdoor,Clay,2nd Round,3,Win,6,4,6.0
Rio Open,2023-02-23,ATP500,Outdoor,Clay,2nd Round,3,Win,7,2,4.0
Rio Open,2023-02-25,ATP500,Outdoor,Clay,Semifinals,3,Win,6,7,6.0
Rio Open,2023-02-26,ATP500,Outdoor,Clay,The Final,3,Loss,7,4,5.0
Miami Open,2023-04-01,Masters 1000,Outdoor,Hard,Semifinals,3,Loss,6,6,6.0
Mutua Madrid Open,2023-04-28,Masters 1000,Outdoor,Clay,2nd Round,3,Win,2,6,6.0
Mutua Madrid Open,2023-05-07,Masters 1000,Outdoor,Clay,The Final,3,Win,6,3,6.0
Queen's Club Championships,2023-06-20,ATP500,Outdoor,Grass,1st Round,3,Win,6,5,6.0
Canadian Open,2023-08-11,Masters 1000,Outdoor,Hard,3rd Round,3,Win,6,6,6.0
Canadian Open,2023-08-12,Masters 1000,Outdoor,Hard,Quarterfinals,3,Loss,3,6,3.0
Western & Southern Financial Group Masters,2023-08-16,Masters 1000,Outdoor,Hard,2nd Round,3,Win,7,4,6.0
Western & Southern Financial Group Masters,2023-08-17,Masters 1000,Outdoor,Hard,3rd Round,3,Win,7,6,6.0
Western & Southern Financial Group Masters,2023-08-18,Masters 1000,Outdoor,Hard,Quarterfinals,3,Win,4,6,6.0
Western & Southern Financial Group Masters,2023-08-19,Masters 1000,Outdoor,Hard,Semifinals,3,Win,6,6,3.0
Western & Southern Financial Group Masters,2023-08-20,Masters 1000,Outdoor,Hard,The Final,3,Loss,7,6,6.0
Shanghai Masters,2023-10-11,Masters 1000,Outdoor,Hard,4th Round,3,Loss,7,2,4.0
Masters Cup,2023-11-13,Masters Cup,Indoor,Hard,Round Robin,3,Loss,6,6,6.0
