Rank,Movement,Points,Country,Country Code,Abbreviation,Competitor Last Name,Competitor First Initial
1,0,9890,Italy,ITA,SIN,"Sinner,",J
2,0,8360,Serbia,SRB,DJO,"Djokovic,",N
3,0,8130,Spain,ESP,ALC,"Alcaraz,",C
4,0,6905,Germany,DEU,ZVE,"Zverev,",A
5,0,6445,Neutral,,MED,"Medvedev,",D
6,0,4420,Neutral,,RUB,"Rublev,",A
7,0,4235,Poland,POL,HUR,"Hurkacz,",H
8,0,4025,Norway,NOR,RUU,"Ruud,",C
9,0,3830,Australia,AUS,DE,de,M
10,0,3750,Bulgaria,BGR,DIM,"Dimitrov,",G
11,0,3745,Greece,GRC,TSI,"Tsitsipas,",S
12,1,3350,USA,USA,FRI,"Fritz,",T
13,-1,3100,USA,USA,PAU,"Paul,",T
14,0,2595,USA,USA,SHE,"Shelton,",B
15,0,2370,Denmark,DNK,RUN,"Rune,",H
16,0,2300,France,FRA,HUM,"Humbert,",U
17,0,2075,Canada,CAN,AUG,"Auger-Aliassime,",F
18,0,2020,Argentina,ARG,BAE,"Baez,",S
19,5,1904,Chile,CHL,TAB,"Tabilo,",A
20,-1,1825,Chile,CHL,JAR,"Jarry,",N
21,-1,1795,USA,USA,KOR,"Korda,",S
22,-1,1780,Neutral,,KHA,"Khachanov,",K
23,0,1730,Kazakhstan,KAZ,BUB,"Bublik,",A
24,-2,1625,France,FRA,MAN,"Mannarino,",A
25,0,1620,Italy,ITA,MUS,"Musetti,",L
26,0,1585,Czechia,CZE,LEH,"Lehecka,",J
27,1,1470,Netherlands,NLD,GRI,"Griekspoor,",T
28,1,1461,Great Britain,GBR,DRA,"Draper,",J
29,1,1355,USA,USA,TIA,"Tiafoe,",F
30,-3,1315,Argentina,ARG,CER,"Cerundolo,",F
31,0,1290,Argentina,ARG,ETC,"Etcheverry,",T
32,0,1282,Argentina,ARG,NAV,"Navone,",M
33,7,1260,France,FRA,MON,"Monfils,",G
34,0,1250,France,FRA,FIL,"Fils,",A
35,0,1245,Italy,ITA,ARN,"Arnaldi,",M
36,0,1240,Spain,ESP,DAV,Davidovich,F
37,0,1236,Italy,ITA,DAR,"Darderi,",L
38,-5,1221,China,CHN,ZHA,"Zhang,",Z
39,-1,1214,Czechia,CZE,MAC,"Machac,",T
40,-1,1206,Australia,AUS,THO,"Thompson,",J
41,0,1135,Germany,DEU,STR,"Struff,",J
42,2,1070,Great Britain,GBR,NOR,"Norrie,",C
43,2,1047,Hungary,HUN,MAR,"Marozsan,",F
44,-1,1045,Neutral,,SAF,"Safiullin,",R
45,9,1038,Austria,AUT,OFN,"Ofner,",S
46,0,1020,USA,USA,GIR,"Giron,",M
47,0,981,Australia,AUS,POP,"Popyrin,",A
48,1,980,Italy,ITA,COB,"Cobolli,",F
49,-1,975,Spain,ESP,MAR,"Martinez,",P
50,1,936,Portugal,PRT,BOR,"Borges,",N
51,1,936,Serbia,SRB,DJE,"Djere,",L
52,1,925,Serbia,SRB,KEC,"Kecmanovic,",M
53,-3,893,Neutral,,KOT,"Kotov,",P
54,3,881,Italy,ITA,SON,"Sonego,",L
55,7,881,USA,USA,MIC,"Michelsen,",A
56,0,871,Serbia,SRB,LAJ,"Lajovic,",D
57,1,860,Kazakhstan,KAZ,SHE,"Shevchenko,",A
58,1,853,France,FRA,MPE,Mpetshi,P
59,1,845,Italy,ITA,BER,"Berrettini,",M
60,1,844,Great Britain,GBR,EVA,"Evans,",D
61,-6,843,France,FRA,MOU,"Moutet,",C
62,-20,835,USA,USA,EUB,"Eubanks,",C
63,0,835,Spain,ESP,MUN,"Munar,",J
64,1,826,Spain,ESP,CAR,Carballes,B
65,-1,825,USA,USA,NAK,"Nakashima,",B
66,0,821,Germany,DEU,KOE,"Koepfer,",D
67,0,808,Argentina,ARG,DIA,Diaz,A
68,26,795,Australia,AUS,PUR,"Purcell,",M
69,12,789,Australia,AUS,VUK,"Vukic,",A
70,-1,785,Hungary,HUN,FUC,"Fucsovics,",M
71,-1,783,France,FRA,GAS,"Gaston,",H
72,-1,776,Argentina,ARG,COR,"Coria,",F
73,-1,768,India,IND,NAG,"Nagal,",S
74,0,767,Brazil,BRA,SEY,Seyboth,W
75,-2,760,Italy,ITA,NAR,"Nardi,",L
76,-8,754,France,FRA,RIN,"Rinderknech,",A
77,-2,751,Australia,AUS,HIJ,"Hijikata,",R
78,7,738,Czechia,CZE,MEN,"Mensik,",J
79,-3,733,Australia,AUS,OCO,"O'Connell,",C
80,-3,731,Germany,DEU,ALT,"Altmaier,",D
81,-3,728,Australia,AUS,DUC,"Duckworth,",J
82,-3,722,Belgium,BEL,BER,"Bergs,",Z
83,-1,694,Belgium,BEL,GOF,"Goffin,",D
84,-1,692,Japan,JPN,DAN,"Daniel,",T
85,2,692,Germany,DEU,MAR,"Marterer,",M
86,-2,690,Brazil,BRA,MON,"Monteiro,",T
87,1,683,Finland,FIN,RUU,"Ruusuvuori,",E
88,-2,681,USA,USA,KOV,"Kovacevic,",A
89,0,664,Croatia,HRV,COR,"Coric,",B
90,12,659,Japan,JPN,NIS,"Nishioka,",Y
91,13,658,China,CHN,SHA,"Shang,",J
92,-2,650,France,FRA,LES,"Lestienne,",C
93,-1,639,Australia,AUS,KOK,"Kokkinakis,",T
94,3,635,Italy,ITA,FOG,"Fognini,",F
95,-2,633,Switzerland,CHE,WAW,"Wawrinka,",S
96,-16,626,USA,USA,MCD,"McDonald,",M
97,-1,618,Netherlands,NLD,VAN,Van,d
98,0,616,France,FRA,CAZ,"Cazaux,",A
99,0,615,Neutral,,KAR,"Karatsev,",A
100,0,608,Argentina,ARG,UGO,Ugo,C
101,6,607,Australia,AUS,WAL,"Walton,",A
102,1,601,France,FRA,MUL,"Muller,",A
103,3,592,Colombia,COL,GAL,"Galan,",D
104,-3,585,France,FRA,VAN,van,A
105,4,580,Bosnia & Herzegovina,BIH,DZU,"Dzumhur,",D
106,5,570,Chile,CHL,GAR,"Garin,",C
107,5,570,Spain,ESP,RAM,"Ramos-Vinolas,",A
108,5,562,France,FRA,MAY,"Mayot,",H
109,5,557,Slovakia,SVK,KOV,"Kovalik,",J
110,-15,556,Germany,DEU,HAN,"Hanfmann,",Y
111,-1,556,Monaco,MCO,VAC,"Vacherot,",V
112,10,555,Spain,ESP,BAU,Bautista,A
113,2,548,Great Britain,GBR,MUR,"Murray,",A
