Event ID,Start Time,Confirmed,Sport ID,Sport Name,Category ID,Category Name,Competition ID,Competition Name,Parent ID,Type,Gender,Level,Season ID,Season Name,Start Date,End Date,Year,Competition ID,Stage Order,Stage Type,Stage Phase,Round Name,Group ID,Group Name,Best Of,Venue ID,Venue Name,City Name,Country Name,Country Code,Timezone,Competitor ID,Competitor Name,Country,Country Code,Abbreviation,Qualifier,Seed,Bracket Number,Status,Match Status,Home Score,Away Score,Winner ID,Period Scores,Aces,Backhand Errors,Backhand Unforced Errors,Backhand Winners,Breakpoints Won,Double Faults,Drop Shot Unforced Errors,Drop Shot Winners,First Serve Points Won,First Serve Successful,Forehand Errors,Forehand Unforced Errors,Forehand Winners,Games Won,Groundstroke Errors,Groundstroke Unforced Errors,Groundstroke Winners,Lob Unforced Errors,Lob Winners,Max Games In A Row,Max Points In A Row,Overhead Stroke Errors,Overhead Stroke Unforced Errors,Overhead Stroke Winners,Points Won,Points Won From Last 10,Return Errors,Return Winners,Second Serve Points Won,Second Serve Successful,Service Games Won,Service Points Lost,Service Points Won,Tiebreaks Won,Total Breakpoints,Volley Unforced Errors,Volley Winners
51140513,2024-07-02T14:10:00+00:00,True,5,Tennis,3,ATP,2555,Wimbledon Men Singles,2553,singles,men,grand_slam,107797,Wimbledon Men Singles 2024,2024-06-24,2024-07-14,2024,2555,2,cup,stage_1_playoff,round_of_128,150657,"2024 Wimbledon, London, Great Britain",5,19070,Centre Court,London,England,CZE,Europe/London,210526,"Kopriva, Vit",Czechia,CZE,KOP,home,,127,closed,ended,0,3,14882,"[{'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 2}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 3}]",4,13,7,9,0,5,0,0,29,53,23,16,7,5,36,23,15,0,0,1,4,0,1,0,56,2,0,0,17,38,5,50,46,0,0,0,1
51140513,2024-07-02T14:10:00+00:00,True,5,Tennis,3,ATP,2555,Wimbledon Men Singles,2553,singles,men,grand_slam,107797,Wimbledon Men Singles 2024,2024-06-24,2024-07-14,2024,2555,2,cup,stage_1_playoff,round_of_128,150657,"2024 Wimbledon, London, Great Britain",5,19070,Centre Court,London,England,SRB,Europe/London,14882,"Djokovic, Novak",Serbia,SRB,DJO,away,2,128,closed,ended,0,3,14882,"[{'home_score': 1, 'away_score': 6, 'type': 'set', 'number': 1}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 2}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 3}]",10,6,8,8,6,2,0,0,35,39,9,7,12,18,15,15,14,0,0,5,16,0,0,2,98,8,0,0,13,17,12,10,48,0,15,0,6
50200061,2024-06-05T09:00:00+00:00,False,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,quarterfinal,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,SRB,Europe/Paris,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,ended,walkover,,,119248,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50200061,2024-06-05T09:00:00+00:00,False,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,quarterfinal,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,NOR,Europe/Paris,119248,"Ruud, Casper",Norway,NOR,RUU,away,7,32,ended,walkover,,,119248,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50200107,2024-06-03T14:00:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_16,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,SRB,Europe/Paris,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,3,2,14882,"[{'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 1}, {'home_score': 5, 'away_score': 7, 'type': 'set', 'number': 2}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 3}, {'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 4}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 5}]",6,27,25,13,6,2,0,0,85,123,12,19,33,27,39,44,46,0,0,5,6,0,0,0,171,8,0,0,30,58,21,68,115,0,11,0,0
50200107,2024-06-03T14:00:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_16,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,ARG,Europe/Paris,255595,"Cerundolo, Francisco",Argentina,ARG,CER,away,23,9,closed,ended,3,2,14882,"[{'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 1}, {'home_score': 5, 'away_score': 7, 'type': 'set', 'number': 2}, {'home_score': 3, 'away_score': 6, 'type': 'set', 'number': 3}, {'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 4}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 5}]",3,34,17,19,4,2,0,0,58,95,40,25,50,22,74,42,69,0,0,5,5,0,0,0,158,2,0,0,32,49,18,56,90,0,19,0,0
50200139,2024-06-01T20:35:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_32,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,SRB,Europe/Paris,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,3,2,14882,"[{'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 7, 'type': 'set', 'number': 2, 'home_tiebreak_score': 6, 'away_tiebreak_score': 8}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 3}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 4}, {'home_score': 6, 'away_score': 0, 'type': 'set', 'number': 5}]",5,24,16,15,9,2,0,0,63,91,15,24,25,27,39,40,38,0,1,7,6,0,0,0,150,7,0,0,23,46,18,53,86,0,15,0,2
50200139,2024-06-01T20:35:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_32,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,ITA,Europe/Paris,359602,"Musetti, Lorenzo",Italy,ITA,MUS,away,30,8,closed,ended,3,2,14882,"[{'home_score': 7, 'away_score': 5, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 7, 'type': 'set', 'number': 2, 'home_tiebreak_score': 6, 'away_tiebreak_score': 8}, {'home_score': 2, 'away_score': 6, 'type': 'set', 'number': 3}, {'home_score': 6, 'away_score': 3, 'type': 'set', 'number': 4}, {'home_score': 6, 'away_score': 0, 'type': 'set', 'number': 5}]",1,35,18,15,5,2,0,1,52,87,36,14,36,21,71,32,48,0,0,3,8,0,0,0,134,3,0,0,29,56,15,64,81,1,5,0,3
50200075,2024-05-30T13:45:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_64,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,SRB,Europe/Paris,14882,"Djokovic, Novak",Serbia,SRB,DJO,home,1,1,closed,ended,3,0,14882,"[{'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}, {'home_score': 6, 'away_score': 2, 'type': 'set', 'number': 3}]",5,7,13,15,7,1,0,2,33,46,8,10,24,18,15,23,38,0,0,6,13,0,0,0,92,5,0,0,16,26,11,24,49,0,12,0,1
50200075,2024-05-30T13:45:00+00:00,True,5,Tennis,3,ATP,2579,French Open Men Singles,2577,singles,men,grand_slam,106267,French Open Men Singles 2024,2024-05-20,2024-06-09,2024,2579,2,cup,stage_1_playoff,round_of_64,148957,"2024 French Open, Paris, France",5,1826,Court Philippe Chatrier,Paris,France,ESP,Europe/Paris,51141,"Carballes Baena, Roberto",Spain,ESP,CAR,away,,3,closed,ended,3,0,14882,"[{'home_score': 6, 'away_score': 4, 'type': 'set', 'number': 1}, {'home_score': 6, 'away_score': 1, 'type': 'set', 'number': 2}, {'home_score': 6, 'away_score': 2, 'type': 'set', 'number': 3}]",2,12,9,7,2,3,0,0,23,48,13,11,10,7,25,20,17,0,0,1,5,0,0,0,59,5,0,0,12,27,5,43,35,0,3,0,0
